@relation TweetFile

@attribute text string
@attribute s_class{network,customer_service,mobile_data,financial,sales,phone_services,signal,other,internet}

@data
'@VodafoneUK The company is convergys',other
'@VodafoneUK does it cost to use your 4G over in Spain if your paying monthly?',financial
'@VodafoneUK Ur staff are retards can help with hiring people who talk English',customer_service
'Me on the phone to @VodafoneUK trying to cancel my contract https://t.co/NMxyQm2LeO',customer_service
'Another month another £600 @VodafoneUK bill .. this phone company are absolutely diabolical!! Same shit for last 3/4 months',financial
'@VodafoneUK Calls and texts fine- mobile_data shows E and has done for days 😒',mobile_data 
'@VodafoneUK Have already tried 2sort w/3 of your colleagues. Each told me different things. Now been on chat for AN… https://t.co/ZAL3njSkGo',other
'Please help me @VodafoneUK',customer_service
'Retail Advisor, @VodafoneUK, #Soton #Southampton. Info/apply:  https://t.co/neJqLnh1cV https://t.co/KJbWcXXGis',other
'RT @Amscreen: Global infrastructure, coverage and quality of service delivering scalable #IoT solutions with @VodafoneUK #DOOH See https://…',other
'@LewisDrynda @VodafoneUK Omg your so angry calm down lew xxxxx',customer_service
'Cant do business without your phone? Stay in contact with Business Extra from @VodafoneUK https://t.co/Rhva0mVWHg',other
'@VodafoneUK Yes it is.....',other
'@VodafoneUK upgraded me to Business Premier with 40gb of data. This is why I have been with them since they launch… https://t.co/FdLacCIGN5',other
'Global infrastructure, coverage and quality of service delivering scalable #IoT solutions with @VodafoneUK #DOOH Se… https://t.co/Bxc1jcD3De',other
'@VodafoneUK no doubt that your bosses are reading these tweets and having a good read',other
'@VodafoneIN @vodafoneNZ @VodafoneUK @vodafone common give me call',customer_service
'@VodafoneUK I want to get to my account!!!!! Do you understand? Im not novice with phones and PC. Send the bloody… https://t.co/9uJo22hBlz',customer_service
'@VodafoneUK trying to speak to cancellations and was fobbed off tell you what will see you in court Vodafone and put this in the media',customer_service
'@VodafoneUK I cant seem to find them (Samsung A5) whats the number and code to text? Probably worth trying to reinstall them.',other
'@VodafoneUK Ive sent it',other
'@VodafoneUK Hi I work for Vodafone and have been trying to add employee discount on two sim onlys and have had response in over a week',customer_service
'@VodafoneUK Several times, seems to work once then thats it',customer_service
'@VodafoneUK Cheers for the update, John.',other
'@VodafoneUK Hi there, still waiting for someone to reply to me',customer_service
'@VodafoneUK Everything is just a struggle. I wanted to change to a 30 day rolling contract but cant do that over t… https://t.co/is7huokMIV',customer_service
'@VodafoneUK Could be more areas but these are the only two areas I have been in today',other
'@VodafoneUK @VodafoneUKhelp Afternoon, Ive having trouble with the my Vodafone app to check data usage etc, its installed but wont open?',mobile_data 
'@VodafoneUK Lord behold nothing is set up and they wont set up so I loose my phone services for nearly a fucking month',phone_services
'RT @VodafoneUK: Hear that sound? It’s the shuffling of zombies marching towards you!  #TheWalkingDead is back, whos excited? https://t.co/…',other
'@MarcAllera @EE Not where I live your not. Signal and 4g coverage is shocking on my phone. Was better with… https://t.co/HJmI7NRrRc',mobile_data 
'@VodafoneUK Pls call the shop. I have wasted enough time on this number port already. What use would a screenshot b… https://t.co/akRYN5fXE0',customer_service
'@VodafoneUK Any network issues in the yo26 postcode? Ive rebooted my phone and still just get connecting on all apps.',network
'@VodafoneUK any explanation for this?? https://t.co/llc1B0ruRm',other
'Ive spoke to @VodafoneUK online, on the phone and even down the shop. Still cant fix my problem and keep going round in circles',customer_service
'Held to ransom by @VodafoneUK partner company and appalling service.  This is not what I signed up for 30 years ago',other
'@VodafoneUK Thank you! I blame solar flares! ⚡️⚡️🔥🌞#solar flares #cmes',other
'@VodafoneUK Well as long as no money goes out of my account all is fine. Saved transcript of convoy saying nothing… https://t.co/qRj1Q5xJzI',financial
'@Highlander2700 @VodafoneUK Check T&amp;Cs',other
'Retail Adviser @VodafoneUK #CustomerServices #Kendal #CumbriaJobs Apply: https://t.co/JPl2dNIpWE',other
'24/7 support my ass... didnt get any of this just straight away went in to this message 🙄 #dontswitch @VodafoneUK https://t.co/yr2ZHlyZDG',customer_service
'RT @RobMukherjeeVf: Honoured to represent @VodafoneUK #NorthWest @VodafoneUK_WN @NorthPowerWomen @NPHinfo at the 2017 @WISAwards finals. ht…',other
'Just been awarded £175 from @VodafoneUK for poor service and I am on hold again with a problem. #YouCouldntMakeItUp',phone_services
'@Nickjames94 @VodafoneUK Should be on @EE Nicky',other
'@VodafoneUK how do I get to speak 2 someone 2 complain that this is 3rd time of complaining &amp; still overcharged for iPad month after month😩',financial
'RT @RobMukherjeeVf: Honoured to represent @VodafoneUK #NorthWest @VodafoneUK_WN @NorthPowerWomen @NPHinfo at the 2017 @WISAwards finals. ht…',other
'Just got a call from Ben @VodafoneUK on 0808 099 6746 asking me for my security details. Is this a genuine number @VodafoneUK or a scam?',customer_service
'This company is so expensive and has bad service. I say no to @VodafoneUK . But sadly Ive 16 more months on contract.',financial
'Honoured to represent @VodafoneUK #NorthWest @VodafoneUK_WN @NorthPowerWomen @NPHinfo at the 2017 @WISAwards finals. https://t.co/GxVToXk693',other
'@VodafoneUK Same message for nearly a week now, have cleared internet cache, logged out a hundred times, nothing ch… https://t.co/FsbAkjku8y',phone_services
'@VodafoneUK Sold me a broken phone in 2013 and refused to exchange. Will never buy from Vodafone again.',phone_services
'RT @PublicTech: PARTNER: @VodafoneUK enables direct interactions between citizens and govt through a range of channels. Full report: https:…',other
'@VodafoneUK its a great idea to input details from a text to get into my account. Shame you dont think Riseley exists to give signal to it!!',signal 
'RT @iffish2017: @VodafoneUK Check further back in the tweets',customer_service
'@VodafoneUK No reply after an hour really? Hello anyone there????',customer_service
'@VodafoneUK Not happy that I was allowed to incur £40 of phone calls with no alerts re: exceeding free minutes allowance 😡',financial
'@VodafoneUK To get my pac code? So what are the opening hours as i am confused as the majority of people wanting to… https://t.co/7faEQwDrfQ',customer_service
'@VodafoneUk Shocking service again and issues still not resolved after 5 lengthy phone calls!!!',customer_service
'RT @StopFundingHate: Todays Sun advertisers include: @Plusnet @bt_uk @TalkTalk @TUIGroup @virginmedia @VodafoneUK @Debenhams @SkyUK @Smart…',other
'@VodafoneUK @OpenreachGB online because councils wont fund it for new estates hence were stuck to rubbish speeds. Openreach are slacking',other
'@VodafoneUK This was at 19.50 till 21.00. Why did it say an 8 minute wait, for over an hour? Thats over an hour I wasted for nothing.',customer_service
'@realDonaldTrump @IntlCrimCourt @jeffsessions @NobelPrize @PulitzerPrize @antonioguterres @mikewaltercgtn… https://t.co/qh2DXsqQRS',other
'@realDonaldTrump @IntlCrimCourt @jeffsessions @NobelPrize @PulitzerPrize @antonioguterres @mikewaltercgtn… https://t.co/O8boRPFUMI',other
'@VodafoneUK I travelled with a friend last week. I had no signal for 70% of the journey. He had no problem with EE.… https://t.co/QSJKNQkO1C',signal 
'@VodafoneUK Insurance claim then my phone was sent through the store to the insurance be repaired.',phone_services
'@VodafoneUK no idea, I have had no signal on and off all day but the coverage checker says i should have it?',signal 
'@Hallam999 @NicMcTwaty @VodafoneUK My 4G came back at midnight- also some missed call sms notifications :/',mobile_data 
'@VodafoneUK announced plans to invest more than $11.8 million to deploy its #NBIoT network across #Italy… https://t.co/wtkNodeUsJ',other
'@sammimarsh1 @VodafoneUK seriously Vodafone Sammi?? Never knew they still existed',other
'Was told my broadband would for sure be up and running by midnight tonight. Thats 12 days without broadband… https://t.co/lZ7sguF2ZA',mobile_data 
'@VodafoneUK why when I have unlimited messages and mins am i being billed for so called “long texts”',financial
'@VodafoneUK It’s Shiraz, not Shitaz - get it right.',other
'@VodafoneUK @JenineCreaney Hi Nate, can you tell Jo that as theyre tweeting customers saying youre unaware of any issues?',customer_service
'@VodafoneUK That doesnt actually give anyone any information regarding the issue??',customer_service
'@VodafoneUK I switched my phone on 35 minutes ago so since then, I’m in Gateshead',other
'So @VodafoneUK have mucked me around after I said I would like to make a complaint, they dont have a team who deals with complaints! 1/2',customer_service
'@VodafoneUK @NOWTV when Vodafone take ur pass away so you miss the walking dead😭',other
'@VodafoneUK I did that 4 hours ago. Its still not working. A check on Twitter shows people are having similar issues.',customer_service
'@VodafoneUK Lol thats such a lie because I can see loads of people who have been tweeting about it for hours so clearly theres some fault',customer_service
'@VodafoneUK reset it twice n tried manual roaming it didn’t work, seems 2 of sorted itself out now whatever it was… https://t.co/C3xkNitMbd',phone_services
'@VodafoneUK @TaylorJ44 So its a complete coincidence so many of us are reporting a lack of service? 🙄🙄🙄🙄',customer_service
'@NicMcTwaty @VodafoneUK “Cheaper than your Asda”. Have you tried GiffGaff? 🤣',other
'@sammimarsh1 @VodafoneUK You back on yet sammi',other
'@VodafoneUK and I’m still paying for it. Could you please sort this out so I won’t have to escalate it and we can all be friends again? 3/3',other
'@VodafoneUK @A5HA20 So its a complete coincidence so many of us are reporting a lack of service? 🙄🙄🙄🙄',customer_service
'@VodafoneUK Yes have been in touch repeatedly. Last time was today at 5pm from the shop when they refused to do a like for like swap on (1)',customer_service
'@VodafoneUK @Rover1875 So its a complete coincidence so many of us are reporting a lack of service? 🙄🙄🙄🙄',customer_service
'@VodafoneUK No, I wanted to speak to someone about lowering my monthly payments on my contract.',financial
'@VodafoneUK rivela i piani per #iPhoneX ad una settimana dal lancio. Come sempre invece @VodafoneIT latita. https://t.co/XKVT4YYvJO',other
'@VodafoneUK It’s come back now... was offline for around 90 minutes and then as if by magic came back. No changes needed on my side',other
'@VodafoneUK Not helpful as I checked it earlier and it said there was no issues',other
'Now at 9pm still no pac codes as they closed without even answering @VodafoneUK',customer_service
'@VodafoneUK You could stop putting the price up and give me a signal on the train between Manchester and London.',phone_services
'@VodafoneUK As stated in my previous tweet, it’s WiFi. See, this is the idiocy I’ve been forced to tolerate lately!',internet
'@VodafoneUK What if I am not looking to upgrade, but want my PAC code?',customer_service
'@sammimarsh1 @VodafoneUK Is yours still down x mine goes off then comes back on .. nightmare',other
'@VodafoneUK Have just now been informed.. cancellations team has closed. @VodafoneUK worst customer service experie… https://t.co/nUyoeTyKX3',customer_service
'Wtf is going on @VodafoneUK had no signal for about 2 hours now ☹️',signal 
'@VodafoneUK Im in Nottingham and the signal keeps dropping in and out and no wif I had rehearsals today and  couldnt get into building!! 🙄',signal 
'@VodafoneUK yet another broken promise from your team.have a manager call me back today,not a thing.complaints number pls. #Vodafone',customer_service
'@VodafoneUK Your***',other
'#vodafone @VodafoneUK youre customer service is awful constant problems with our broadband and no help from CS! guaranteed 62mbs pfft!!! 😡',customer_service
'RT @VodafoneUK: Keep an eye on spending, pay bills, top up any time. The future is exciting. Ready? https://t.co/SFHpdMiibC',internet
'@VodafoneUK me again. Still haven’t received my PAC code after requesting twice, and being told on Monday it would be within 24hrs',phone_services
'@VodafoneUK any chance of an update on the lack of service? Causing major issues',phone_services
'@VodafoneUK is your wifi/internet down?!? Im getting the spinning wheel of death!!!!!',internet
'@VodafoneUK Is your network down? I have no signal and am unable to send messages or make calls!',signal 
'Wahoo! @VodafoneUK signal is back...Suffolk 🙌🏻',other
'RT @TheDuchessLJ: What’s going on @VodafoneUK Is this a network issue “no signal” or is there something else wrong with my phone that you c…',network
'@VodafoneUK is there an issue with the signal in Milton Keynes?  My phone has no service and hasnt done for the past few hours. Thanks :)',signal 
'@VodafoneUK what’s happening? No service!',signal 
'@VodafoneUK how long till my service is back on please need for work',signal 
'@kimmyd22 @VodafoneUK Nope',other
'@VodafoneUK why is my phone constantly saying searching?',signal 
'@VodafoneUK Ive had no service for half an hour now. Ive turned my phone off and on. Whats going on ?',signal 
'Whats happening? No signal/reception  @VodafoneUK . #Rm15',signal 
'Have been on hold for over 40minutes.. and have yet to speak to a single human. @VodafoneUK one of the reasons why… https://t.co/HvcTLmbuNK',customer_service
'Anyone else’s @VodafoneUK stuck with “no service”? Over an hour now. 😡',other
'@VodafoneUK Whats happened to my 4g signal?  Websites barely loading, lots of time outs, CH46 area, Wirral, UK. Been awful all day.',mobile_data 
'@VodafoneUK How long is this issue expected to last please? I currently have a brick for a phone!',customer_service
'@VodafoneIN @vodafoneNZ @VodafoneUK @VodafoneAU @VodafoneQatar @VodafoneUKhelp @VodafoneGhana @Vodacom I got cl frm… https://t.co/Cs8XUj0kXN',other
'Good afternoon @VodafoneUK Whats this  not registered on network stuff all about.Stuff needs doing...!',network
'@VodafoneUK brilliant seeing as my contract finished a month ago and all bills complexly paid#useless as ever',financial
'@VodafoneUK That isnt something that this person is capable of doing. Id like a phone number of a real person that… https://t.co/9bg8BtNO56',customer_service
'@VodafoneUK Also, there still should have been correspondence. This is a loan and once its been paid, someone doesnt continue to pay it.',financial
'RT @Matt_Elvy: Is anyone else having issues with their @VodafoneUK signal? #Vodafone #NoSignal',signal 
'@VodafoneUK Dear Vodafone, your broadband is absolutely crap 😣',phone_services
'@cotch64 @VodafoneUK 😳😳😳🖕🏻',other
'@VodafoneUK no signal in HP2 area for nearly an hour. Tried everything',signal 
'@VodafoneUK is service down in Ipswich area absolutely no signal attached all?',signal 
'@VodafoneUK any update on the coverage being down?',network
'@VodafoneUK Not only have your online chat not resolved the issue but now I cant even dial out or receive calls in… https://t.co/v4tqGikIPA',phone_services
'45 minutes waiting on the phone with @VodafoneUK and no one picked up my call yet! Such a great service! 😡',customer_service
'@NicMcTwaty @VodafoneUK There’s literally no info about what’s going on either! Grrrr. Chocolate teapots spring to Mind.',other
'@BennyB72 @VodafoneUK @BluebellDelghts Unreal! Maybe well get some answers to whats going on from #Vodafone #NoService',customer_service
'@VodafoneUK no service or reception on my mobile for nearly an hour now?',signal 
'@VodafoneUK why cant I get signal on my phone? Its been like this for at least an hour?!',signal 
'Hey @VodafoneUK - is network down? Haven’t been able to make/receive calls for 20 mins...',network
'@Sennathedog6969 @VodafoneUK Yeah your not wrong',other
'@samkelly_uk @VodafoneUK It kinda comes back on 1 bar then starts searching again, my other half is in Vodafone and has a great signal??',signal 
'@VodafoneUK spectacularly the least customer friendly company. Taken 2 days and 7 “customer service” calls and still not resolved',customer_service
'@VodafoneIN you looters and cheaters you were supposed to call me and it’s more than a week after last response @VodafoneUK @Vodacom',customer_service
'@VodafoneUK Probably the worst website in existence.Vodafone UK are incapable of resolving simple issues and non UK call centres dont help#',customer_service
'@VodafoneUK Customer service absolute rubbish a complete waste of time trying to resolve a simple task Over 3 hours and still no result#',customer_service
'When @VodafoneUK call you all day every day just to tell me Im a loyal customer and sell me more shit. GO AWAY',other
'@northwalestech @parcmenai @anorakgirl @HywelPlaidCymru @BusnesGwynedd @siangwenfelin @ArloesiGwynedd… https://t.co/po9weNQ7B5',other
'@VodafoneUK Youve got 1 week https://t.co/Nq9tQwtfwX',other
'@VodafoneUK Aye get my replacement phone to me quicker, i.e within 2 weeks. Absolute shambles.',customer_service
'@Snoopaii @VodafoneUK Confused snoop 😟',other
'@VodafoneUK Just paying far too much and received better offers elsewhere',other
'So, my new phone hasn’t arrived yet but @VodafoneUK have decided to change my contract over and now my sim won’t work in my current phone 😡',phone_services
'Is it just me! Unable to access my vodafone account on ipad @VodafoneUK . Fine on my mobile. Help desk solutions are not helping!',financial
'@laurie_phoebe @VodafoneUK was it a letter ? I’ve just called them regarding mine and it’s a spam letter 🤔🤔🤔',other
'@BrokenBarnet @VodafoneUK we got fed up with them and moved to Three.',other
'@Ghayyur_Mirza @VodafoneUK @VodafoneGroup @Ofcom Absolutely correct.   100%    They are a disgrace',other
'@VodafoneUK has now decided to increase my monthly payment from £36.75 to £49 without notice! Definitely calling up to complain!! 😡',financial
'@KnebStu @VodafoneUK Have you been on hold for 24 months?',customer_service
'@VodafoneIN @VodafoneUK no wonder you are losing to @reliancejio @TRAI @manojsinhabjp',other
'@VodafoneUK your service is a joke, 4 attempts online and a 20 minute phone call later and my sim is still restricted',phone_services
'@VodafoneUK is proof of POA and letter from consultant not enough??? No common sense and lack of compassion 😡😡 https://t.co/TpnvIV2dq7',other
'@VodafoneUK @BluebellDelghts Same here in Glasgow. Whats the problem #vodafone',other
'@VodafoneUK one of my mobiles  aint getting service. Thats not very good when your custimer service has been crap uptil now',customer_service
'@VodafoneUK No Service why?#badservice',phone_services
'@VodafoneUK any reason why I’ve got no service and been on hold for over half n hour #PoorService',phone_services
'@VodafoneUK Call waiting times are far too long. Call back service is rubbish! Please do something about it!',customer_service
'@ShaunSlipper @VodafoneUK Wtf is going on im just talking it as “im special”',other
'RT @tinto_p: @VodafoneUK why is there no signal on my phone?',signal 
'@VodafoneUK 70 pound a month and your wank service is down',phone_services
'@NicMcTwaty @rox_1990 @VodafoneUK 😂😂😂😂',other
'@VodafoneUK now, theres no even reception. Whats going on? Im sure Ill get the same msg. What to do to check if… https://t.co/BF6mWoRQpO',customer_service
'@nicolatheron @TVRav @O2 @EE @VodafoneUK Yeah, says on the T&amp;Cs for corporate.',other
'@VodafoneUK is there something wrong with you signal?',signal 
'@TVRav @sharonodea @O2 @EE @VodafoneUK Im betting corporate accounts dont get the £5 option.',financial
'@rox_1990 @VodafoneUK same here. No service on mine!',phone_services
'@VodafoneUK Why is there no service in Blackburn??',phone_services
'@VodafoneUK Is there an issue with customers being able to get ANY mobile network in BN2 area? Friend right next to me unable to use phone!',network
'@VodafoneUK no signal in Leeds, whats the issue???',signal 
'@VodafoneUK #vodafoneuk just spent 33 mins waiting to be answered and gave up! Pathetic! Answer your phones! #PoorCustomerService',customer_service
'No service? @VodafoneUK u ok Hun?xx',phone_services
'@VodafoneUK You might want too - No one else at Vodafone does - bunch of morons. Waste of time and money.',other
'@nicolatheron @sharonodea @O2 @EE @VodafoneUK Go figure! It’s a Vodafone corporate account. Just the way it is.',customer_service
'Think Vodafone is throwing a wobbler! No signal 👀 @VodafoneUK',signal 
'The real @VodafoneUK customer service number is 03333040191 - the Rochdale number is a scam. Don’t fall for it.… https://t.co/qP844Msvbz',customer_service
'@VodafoneUK He was going to refuse to give me his name. I want to complain about him. His English language wasnt g… https://t.co/gScGbAXyyi',customer_service
'RT @james_wilson156: Not the best start to being a @VodafoneUK broadband customer, waited in all day for an engineer to not show up...',phone_services
'@VodafoneUK I already have!!! Im now dealing with NUC resolutions and getting auto replies that dont answer my questions!!!!!! 😬',customer_service
'RT @VodafoneUK: Hear that sound? It’s the shuffling of zombies marching towards you!  #TheWalkingDead is back, whos excited? https://t.co/…',other
'Ive had no end of problems with @VodafoneUK renewing our contracts this time round. You need to get your act together.',financial
'@TVRav @nicolatheron @O2 @EE @VodafoneUK Bloody hell.',other
'@VodafoneUK no signal in large area in Derbyshire. your help support deny it is out terrible service for the price you charge customers',signal 
'@VodafoneUK Your obviously a part of the inept organisation  you work for ,why don’t you stop tweeting the same bul… https://t.co/4hmmvYG7DL',other
'I am sick to death of @VodafoneUK shit signal, shit customer service and over priced contracts that I didn’t agree to. Get me over to sky!',signal 
'RT @VodafoneUK: Hear that sound? It’s the shuffling of zombies marching towards you!  #TheWalkingDead is back, whos excited? https://t.co/…',other
'RT @CSWnews: PARTNER: **Northern Ireland readers** @VodafoneUK offers Stormont solutions for digital government. Full report: https://t.co/…',other
